UNIX_timestamp,closing_price,market_caps,total_volumes
1493510400000,1349.8863,22007601314.79,86247238.96408871
1493596800000,1408.445,22964730936.125,217759983.7243955
1493683200000,1442.245,23518941607.875,189160669.69719717
1493769600000,1485.8175,24231937589.4375,206154588.92349654
1493856000000,1499.36,24455911024,335017412.62340426
1493942400000,1506.0438,24567395211.1206,324314592.9971558
1494028800000,1547.815,25252078563.53,135507234.10379437
1494115200000,1557.8838,25419561546.555,149859388.43444195
1494201600000,1633.38,26655087385.5,276144904.85303676
1494288000000,1700.1775,27748404857.4425,383922543.2526552
1494374400000,1747.3175,28521047690.935,288565639.4229343
1494460800000,1808.7788,29527250348.0656,313353159.7330766
1494547200000,1700.7725,27767470033.9575,248020430.1818661
1494633600000,1751.73,28602793979.76,246696636.62711567
1494720000000,1767.7088,28867391787.52,124978733.01274386
1494806400000,1696.13,27702000821.75,231039670.3102772
1494892800000,1716.315,28034610160.905,218205145.65872082
1494979200000,1804.4513,29477763646.6281,271656160.3631455
1495065600000,1889.4088,30868475119.0056,230137778.81666598
1495152000000,1972.9013,32237082949.2181,279848678.0797178
1495238400000,2043.42,33393518554.5,274198303.3238714
1495324800000,2053.8788,33568054937.0756,264478153.79685724
1495411200000,2109.3963,34479453631.095,580030832.7898638
1495497600000,2292.7025,37479380943.125,389402023.7389176
1495584000000,2448.1313,40025140034.1006,555024432.8249408
1495670400000,2366.9725,38704024228.25,889791512.2689184
1495756800000,2262.36,36997900173,716011543.9589934
1495843200000,2082.845,34066387966.5,683119789.1268574
1495929600000,2219.4875,36305932627.5,401864331.3271442
1496016000000,2286.2663,37402630788.11,312368211.91593516
1496102400000,2167.6438,35466825282.315,335746190.66623986
1496188800000,2329.0775,38113024210,416350458.7178713
1496275200000,2436.0363,39868442921.8656,438586633.5187092
1496361600000,2514.2275,41152717323.6675,292795886.85332465
1496448000000,2562.54,41949676689,304803966.17644024
1496534400000,2556.405,41854068527.985,254469613.91820475
1496620800000,2721.5525,44563721217.1875,334411829.5166427
1496791795701,2903.4438,47547556371.0756,1211604496.354524
1496793600000,2716.0588,44484425844.04,717931660.7865304
1496965161692,2824.2038,46261410000.6806,580940070.4176636
1496966400000,2817.0638,46149913864.145,393210044.6730309
1497052800000,2937.4538,48127389931.89,354694237.39057237
1497139200000,3013.7138,49382412955.42,350197483.3404642
1497225600000,2701.255,44267424094.875,792436484.821471
1497312000000,2736.1888,44844697932.88,410084483.665015
1497398400000,2503.40127294964,41033780985.98741,565476421.7798644
1497484800000,2444.49371230854,40072859209.16968,845674827.7127961
1497571200000,2513.81034764638,41213920649.6624,404682134.6180688
1497657600000,2683.5713440378,44001982613.919,386716359.4470909
1497744000000,2577.21936114026,42262755911.74297,320439362.70244586
1497830400000,2620.13645139993,42971547871.184555,307738404.7993459
1497916800000,2777.79265567999,45561980141.81072,461719561.5390207
1498003200000,2717.00310788798,44569583131.63903,447106675.7720245
1498089600000,2724.91221331707,44703988751.351746,273815444.4663382
1498176000000,2737.74623109829,44920255723.30297,187781433.42478496
1498262400000,2618.41673570888,42966679003.94212,314564252.5547436
1498348800000,2606.8632352265,42781394178.82268,320081172.027822
1498435200000,2488.19416337737,40837922140.409676,540038332.4734977
1498521600000,2531.34899878484,41550828140.55376,518735269.2034187
1498608000000,2575.43777025493,42279511902.81053,351206317.75963986
1498694400000,2561.68143454198,42057301540.09505,239853090.84820977
1498780800000,2490.75348798041,40897674121.940735,210111037.78145665
1498867200000,2439.82055973389,40066457532.22669,207555417.49021047
