date,axie-infinity
2020-11-04,0.14569963826503426
2020-11-05,0.14569963826503426
2020-11-06,0.13489262621204753
2020-11-07,0.142959525828084
2020-11-08,0.14199469620607735
2020-11-09,0.1979336794610916
2020-11-10,0.2795589009850647
2020-11-11,0.26416610009638714
2020-11-12,0.35156189817670414
2020-11-13,0.3121605406269677
2020-11-14,0.39427890543404676
2020-11-15,0.5757936739725374
2020-11-16,0.5998615091106866
2020-11-17,0.557482358079674
2020-11-18,0.5018519578578174
2020-11-19,0.5175370362372926
2020-11-20,0.4394062652682793
2020-11-21,0.49525683808052867
2020-11-22,0.46806532913570476
2020-11-23,0.43455126491911095
2020-11-24,0.5085986124167599
2020-11-25,0.4781210755441495
2020-11-26,0.41709860785125197
2020-11-27,0.369096866042345
2020-11-28,0.37920438538966605
2020-11-29,0.4283029565904617
2020-11-30,0.4754499120922897
2020-12-01,0.45498734930966434
2020-12-02,0.41188045294052616
2020-12-03,0.4974750652931096
2020-12-04,0.5120459436153283
2020-12-05,0.4312290888160158
2020-12-06,0.47569697458920984
2020-12-07,0.4783449560601228
2020-12-08,0.5633083380290629
2020-12-09,0.5676553282621721
2020-12-10,0.6306042080426305
2020-12-11,0.564500031775874
2020-12-12,0.5516925530408603
2020-12-13,0.5776324074176886
2020-12-14,0.6113890565154312
2020-12-15,0.6384697123952443
2020-12-16,0.7287119792720759
2020-12-17,0.7437227412165895
2020-12-18,0.7101986554312771
2020-12-19,0.8234100250637517
2020-12-20,0.7523176221920786
2020-12-21,0.6868592181441978
2020-12-22,0.6426612045023795
2020-12-23,0.6580679813358634
2020-12-24,0.5363796600653371
2020-12-25,0.6337683627900592
2020-12-26,0.6014461515926474
2020-12-27,0.5795837566521463
2020-12-28,0.6017392909762158
2020-12-29,0.598766648214065
2020-12-30,0.5616084344194562
2020-12-31,0.5340728403120757
2021-01-01,0.5373077391576501
2021-01-02,0.592105695097175
2021-01-03,0.541559497816546
2021-01-04,0.5692119124808555
2021-01-05,0.5445839652679287
2021-01-06,0.5584891600679033
2021-01-07,0.5995439141128116
2021-01-08,0.6067678552224709
2021-01-09,0.5969228713225789
2021-01-10,0.6099283767192976
2021-01-11,0.578764848242735
2021-01-12,0.4984503760218865
2021-01-13,0.45175213767908945
2021-01-14,0.5047511187952343
2021-01-15,0.5321056538628604
2021-01-16,0.5429183315096229
2021-01-17,0.585160029426787
2021-01-18,0.6139057614337151
2021-01-19,0.6776993249941109
2021-01-20,0.6329291274455058
2021-01-21,0.6351433670090934
2021-01-22,0.6510915655521717
2021-01-23,0.63370576466943
2021-01-24,0.6959927855665683
2021-01-25,0.734657646735492
2021-01-26,0.8418644709184991
2021-01-27,0.9482441135499198
2021-01-28,0.8776589956219134
2021-01-29,0.8146170224278184
2021-01-30,0.8128345753789697
2021-01-31,0.8402367665592624
2021-02-01,0.802943712025281
2021-02-02,1.002524227479821
2021-02-03,0.962136826323255
2021-02-04,1.0243283884242755
2021-02-05,0.9577143154424906
2021-02-06,1.0764055917444986
2021-02-07,0.9573167175046234
2021-02-08,0.9990670901874458
2021-02-09,1.3764352498016772
2021-02-10,1.2878323776473082
2021-02-11,1.3653082873978735
2021-02-12,1.489107153480033
2021-02-13,1.7985538778067238
2021-02-14,1.9722195800935103
2021-02-15,2.1375727652686147
2021-02-16,2.038280940362832
2021-02-17,1.9665275555552904
2021-02-18,1.8859046224471936
2021-02-19,2.1477117196402196
2021-02-20,1.9872669346340415
2021-02-21,1.7903682631755715
2021-02-22,1.840898913027636
2021-02-23,1.6659727918171203
2021-02-24,1.3457397076915725
2021-02-25,1.3686360721289135
2021-02-26,1.4092154404210853
2021-02-27,1.4994658530030363
2021-02-28,1.5916132470505309
2021-03-01,1.3941853857317288
2021-03-02,1.64459306284895
2021-03-03,1.6849942112992224
2021-03-04,2.192108755183675
2021-03-05,2.785013888456909
2021-03-06,2.4356087676587643
2021-03-07,2.5485098953707896
2021-03-08,2.707287358321444
2021-03-09,3.678455129354558
2021-03-10,3.4481846369398705
2021-03-11,3.8697774672727836
2021-03-12,4.641153108676001
2021-03-13,4.994601163176045
2021-03-14,5.139486185388188
2021-03-15,5.882875337278578
2021-03-16,5.587360792256766
2021-03-17,5.513987903954229
2021-03-18,5.004117578628204
2021-03-19,5.038434771063308
2021-03-20,5.056564059075479
2021-03-21,4.5529835208350375
2021-03-22,4.624523948700503
2021-03-23,4.0258765157774805
2021-03-24,3.8568388743346937
2021-03-25,3.768543233503981
2021-03-26,3.566623666860648
2021-03-27,4.558751163511789
2021-03-28,4.367421241592622
2021-03-29,4.9027776834255485
2021-03-30,5.641975914497307
2021-03-31,6.241409548061469
2021-04-01,5.694615918615775
2021-04-02,5.550468323370217
2021-04-03,5.666850935398332
2021-04-04,5.085393977696767
2021-04-05,5.887247677962115
2021-04-06,9.291324316942918
2021-04-07,7.774548004720438
2021-04-08,7.411136379623523
2021-04-09,7.763759346253253
2021-04-10,7.965728253084273
2021-04-11,7.583706463719101
2021-04-12,7.225702018543677
2021-04-13,7.680238284176715
2021-04-14,8.055762844787855
2021-04-15,7.627061891491937
2021-04-16,8.012522202020161
2021-04-17,7.450843006999903
2021-04-18,7.702408950673382
2021-04-19,6.709095931732017
2021-04-20,7.970000972033827
2021-04-21,8.510426231871119
2021-04-22,8.231027926275257
2021-04-23,8.247449693878714
2021-04-24,7.442582900460624
2021-04-25,6.555088714399038
2021-04-26,6.536145687225505
2021-04-27,7.559175326621019
2021-04-28,8.577216761352883
2021-04-29,10.672728652078051
2021-04-30,10.113279159364476
