date,gala
2020-09-16,0.001550429300627122
2020-09-17,0.001550429300627122
2020-09-18,0.002191176773115626
2020-09-19,0.0015665260794873559
2020-09-20,0.0015448084787848134
2020-09-21,0.001696839956035796
2020-09-22,0.001289182166957347
2020-09-23,0.0014261995033646431
2020-09-24,0.0010891405031497037
2020-09-25,0.0010719476999757423
2020-09-26,0.0010598792584865563
2020-09-27,0.001035519546787846
2020-09-28,0.001005805317442013
2020-09-29,0.0010399503519587972
2020-09-30,0.0008064585090374665
2020-10-01,0.0008343817051340617
2020-10-02,0.0008997766883595821
2020-10-03,0.0008547012980242086
2020-10-04,0.000932866322254502
2020-10-05,0.0009910525161237623
2020-10-06,0.0011467083964139162
2020-10-07,0.0009921021925863055
2020-10-08,0.0008901532120564197
2020-10-09,0.0009044385395599279
2020-10-10,0.0006913355713767508
2020-10-11,0.0006433945369027942
2020-10-12,0.0006521903523487339
2020-10-13,0.0007024057640394295
2020-10-14,0.0005652452539098747
2020-10-15,0.00044874709091463947
2020-10-16,0.00050356091165397
2020-10-17,0.0005598333557423274
2020-10-18,0.0005034833790171641
2020-10-19,0.0004451041285991519
2020-10-20,0.00038990678299876953
2020-10-21,0.0003093638945923102
2020-10-22,0.0003185568516369137
2020-10-23,0.00032638631053325895
2020-10-24,0.00040208591007395277
2020-10-25,0.0003408860760810141
2020-10-26,0.00034712649841690184
2020-10-27,0.0003080890233618672
2020-10-28,0.00031501716354915025
2020-10-29,0.0001979945832911882
2020-10-30,0.00027942952127053513
2020-10-31,0.00030160855618361997
2020-11-01,0.0002902252396333238
2020-11-02,0.0002679201413078971
2020-11-03,0.00029601128613015976
2020-11-04,0.0003131173795741371
2020-11-05,0.0003816257651667948
2020-11-06,0.00041601472636324703
2020-11-07,0.000449597217039214
2020-11-08,0.00040172825860092167
2020-11-09,0.0003781246847227207
2020-11-10,0.00039312504064481437
2020-11-11,0.00036036718401776413
2020-11-12,0.0003474687146453763
2020-11-13,0.0003545707623224971
2020-11-14,0.00038273846278534865
2020-11-15,0.0003772092150185584
2020-11-16,0.00032666539403801355
2020-11-17,0.0003300267020876759
2020-11-18,0.00032648319315973335
2020-11-19,0.000318549895137621
2020-11-20,0.0003358304729940807
2020-11-21,0.00029085605398603074
2020-11-22,0.0002293440728761849
2020-11-23,0.00020613625117439407
2020-11-24,0.00024077030805694675
2020-11-25,0.0002547289778490134
