date,apecoin
2022-03-17,8.536838712231901
2022-03-18,8.536838712231901
2022-03-19,12.988729425242765
2022-03-20,11.53516533563708
2022-03-21,9.61821369999986
2022-03-22,10.483837782502226
2022-03-23,12.266127009622561
2022-03-24,13.286062710388501
2022-03-25,12.79928941660666
2022-03-26,12.382675759261863
2022-03-27,13.847021291100928
2022-03-28,14.18646135013392
2022-03-29,13.986992258917363
2022-03-30,13.590267919386422
2022-03-31,14.104502294957037
2022-04-01,12.700740339255667
2022-04-02,12.797642018230011
2022-04-03,12.420142421461922
2022-04-04,12.320673821554694
2022-04-05,11.952930580358872
2022-04-06,11.617339696554245
2022-04-07,10.659660953158255
2022-04-08,11.243658713583923
2022-04-09,10.784827357765424
2022-04-10,10.958970942417803
2022-04-11,12.225769197042208
2022-04-12,10.904991385611714
2022-04-13,11.636171214348515
2022-04-14,13.287929347210952
2022-04-15,12.274877239177338
2022-04-16,12.211134947638373
2022-04-17,11.692114931448614
2022-04-18,11.678311265723812
2022-04-19,11.873928764920997
2022-04-20,13.396587358646839
2022-04-21,16.81208406777226
2022-04-22,14.29455563273723
2022-04-23,15.291711925038191
2022-04-24,16.679431472473272
2022-04-25,16.79171183075766
2022-04-26,19.397882000482838
2022-04-27,17.99471247145527
2022-04-28,19.38092511731165
2022-04-29,23.628971352147655
2022-04-30,19.196781408954674
2022-05-01,20.0855749092906
