date,flow
2021-01-27,6.93612479501509
2021-01-28,6.93612479501509
2021-01-29,7.153618419151332
2021-01-30,6.398993964937578
2021-01-31,9.030796720066757
2021-02-01,9.772269193397891
2021-02-02,9.790270095239077
2021-02-03,9.359083610827653
2021-02-04,8.833174488815708
2021-02-05,8.681318886689777
2021-02-06,10.742533722801777
2021-02-07,10.440390528517089
2021-02-08,10.062969946465362
2021-02-09,10.097994714493625
2021-02-10,11.355973831700217
2021-02-11,11.39188204138629
2021-02-12,12.580736748869414
2021-02-13,14.622234812309783
2021-02-14,14.759596564504086
2021-02-15,17.688056048221693
2021-02-16,19.0297054280359
2021-02-17,19.19092779505469
2021-02-18,17.211971183109693
2021-02-19,19.14688002618189
2021-02-20,18.494287676531254
2021-02-21,18.85245384344437
2021-02-22,21.970030316310876
2021-02-23,22.695696795793594
2021-02-24,21.447706539177315
2021-02-25,20.977862026769248
2021-02-26,20.26671664116678
2021-02-27,19.938707992830444
2021-02-28,20.744387364391766
2021-03-01,20.772330791557703
2021-03-02,29.254330129946027
2021-03-03,29.940007588341636
2021-03-04,32.540261084074174
2021-03-05,39.24395159440994
2021-03-06,34.7252876832155
2021-03-07,34.73913456516081
2021-03-08,34.25224203239844
2021-03-09,32.17099051561487
2021-03-10,35.611299714794335
2021-03-11,34.433374924983774
2021-03-12,32.39391583353902
2021-03-13,35.071867742192985
2021-03-14,37.7344045185035
2021-03-15,36.237715984364726
2021-03-16,34.74385260140439
2021-03-17,33.59018229782951
2021-03-18,32.35176945563204
2021-03-19,31.622936441949673
2021-03-20,31.65681012367166
2021-03-21,31.454358855362152
2021-03-22,30.135152438448713
2021-03-23,26.786147669482332
2021-03-24,26.28953050866569
2021-03-25,25.542798767244925
2021-03-26,25.335567411235832
2021-03-27,29.806086711133243
2021-03-28,27.566127599888993
2021-03-29,29.712846898138537
2021-03-30,32.60363930399464
2021-03-31,32.898105636349
2021-04-01,34.334666181193555
2021-04-02,31.081772783039963
2021-04-03,29.704596815823617
2021-04-04,30.20026665469891
2021-04-05,34.852239266263105
2021-04-06,38.19098298731462
2021-04-07,36.12663566110985
2021-04-08,34.99347156520907
2021-04-09,35.397871673825684
2021-04-10,35.25578043966799
2021-04-11,35.10231804927206
2021-04-12,33.635311203717016
2021-04-13,38.09130088553629
2021-04-14,38.529841461639315
2021-04-15,36.84228099274828
2021-04-16,38.367555293985745
2021-04-17,36.535071496215025
2021-04-18,35.51018308591235
2021-04-19,32.59059200258199
2021-04-20,32.19687039086592
2021-04-21,34.140955771490034
2021-04-22,33.25668940597466
2021-04-23,29.936140257332404
2021-04-24,27.728797484411217
2021-04-25,26.82635357261827
2021-04-26,26.694042043539522
2021-04-27,30.177268274720145
2021-04-28,32.80191585794043
2021-04-29,31.595167685620446
2021-04-30,30.56340235404504
2021-05-01,31.133788514148524
2021-05-02,30.784697939386128
2021-05-03,30.185761680389668
2021-05-04,30.99743251876466
2021-05-05,32.20049988863597
2021-05-06,33.11965393934889
2021-05-07,30.44689569500465
2021-05-08,29.39231739017864
2021-05-09,28.716763896829743
2021-05-10,27.412914628885282
2021-05-11,26.094577359987028
2021-05-12,27.412621814463503
2021-05-13,24.791877235190075
2021-05-14,24.154280614158164
2021-05-15,24.982408490659747
2021-05-16,24.481664999182417
2021-05-17,23.529388512612517
2021-05-18,20.20105873947069
2021-05-19,21.045760222314986
2021-05-20,14.576559247643992
2021-05-21,16.14083887387833
2021-05-22,15.025787902926055
2021-05-23,13.81069617135478
2021-05-24,11.601249589922121
2021-05-25,13.540825480369966
2021-05-26,14.533804495015781
2021-05-27,15.195898666769786
2021-05-28,14.67355764610369
2021-05-29,13.22300736005899
2021-05-30,13.45860448104773
2021-05-31,13.577204188068597
2021-06-01,13.912656901719481
2021-06-02,13.432015306679029
2021-06-03,14.194486127022197
2021-06-04,14.84345420612383
2021-06-05,14.95101143723769
2021-06-06,14.01185199015191
2021-06-07,14.186277785961508
2021-06-08,13.415469544168833
2021-06-09,12.33249461660307
2021-06-10,12.55493679991437
2021-06-11,12.405876216504803
2021-06-12,12.713485444914546
2021-06-13,11.915435892009372
2021-06-14,12.031165023890326
2021-06-15,12.362751784897402
2021-06-16,12.39274751384439
2021-06-17,11.797774568470409
2021-06-18,11.94383143559998
2021-06-19,10.236789581123832
2021-06-20,10.046022862904147
2021-06-21,9.436315763206888
2021-06-22,7.281802138271536
2021-06-23,7.130962272553303
2021-06-24,8.55959136495359
2021-06-25,8.728393331283202
2021-06-26,8.054260091872948
2021-06-27,7.9310267297552475
2021-06-28,8.538466715095682
2021-06-29,8.777482499294445
2021-06-30,9.38716028503892
2021-07-01,9.489136263617638
2021-07-02,9.162659864827578
2021-07-03,9.660730285359474
2021-07-04,10.696861811032043
2021-07-05,11.162643242696586
2021-07-06,10.422896429610718
2021-07-07,11.723646696649963
2021-07-08,15.979541998089005
2021-07-09,13.719244163571195
2021-07-10,15.522036928266665
2021-07-11,18.562617465099763
2021-07-12,19.579915029776707
2021-07-13,16.769215122862217
2021-07-14,16.813147303816205
2021-07-15,18.23990175982068
2021-07-16,17.405658182261398
2021-07-17,16.907878337612058
2021-07-18,15.210442266284494
2021-07-19,15.078106223439253
2021-07-20,13.680554969018202
2021-07-21,12.14961462182448
2021-07-22,14.403254372120683
2021-07-23,16.5745874002733
2021-07-24,19.740229561001208
2021-07-25,20.552176760951998
2021-07-26,20.01201648290615
2021-07-27,18.318065264295278
2021-07-28,18.460881631044845
2021-07-29,18.182970290501284
2021-07-30,18.324248081459753
2021-07-31,23.619969797523073
