date,the-sandbox
2020-08-14,0.08091994568370936
2020-08-15,0.06640343292744963
2020-08-16,0.05078364883524794
2020-08-17,0.061079835827440775
2020-08-18,0.05497444370112035
2020-08-19,0.05153185760373768
2020-08-20,0.05206361273746828
2020-08-21,0.05363025973311594
2020-08-22,0.045212699771900754
2020-08-23,0.04589056462985725
2020-08-24,0.043894677126984465
2020-08-25,0.050743822595316714
2020-08-26,0.04793773024641064
2020-08-27,0.057674199238858054
2020-08-28,0.07476800101088775
2020-08-29,0.06963894970132761
2020-08-30,0.07221118334437886
2020-08-31,0.06637468092599266
2020-09-01,0.07016845064094356
2020-09-02,0.05956588462936652
2020-09-03,0.05894967190483147
2020-09-04,0.04380289332353941
2020-09-05,0.045259260909798205
2020-09-06,0.03756205107810682
2020-09-07,0.040874613822584206
2020-09-08,0.037400497098505577
2020-09-09,0.049696282969686555
2020-09-10,0.04814229465546272
2020-09-11,0.049497185141519046
2020-09-12,0.051583805968705786
2020-09-13,0.04927385269111136
2020-09-14,0.04354381062212257
2020-09-15,0.04651871987504427
2020-09-16,0.04240768544845476
2020-09-17,0.044259609064403876
2020-09-18,0.04390388094598739
2020-09-19,0.04404512701306473
2020-09-20,0.046695344737306
2020-09-21,0.04286424683961408
2020-09-22,0.038392588436187466
2020-09-23,0.044045981100047434
2020-09-24,0.0426190146854952
2020-09-25,0.04760095566693368
2020-09-26,0.04865955923782433
2020-09-27,0.04648810260153791
2020-09-28,0.04318886480295896
2020-09-29,0.041783219351627425
2020-09-30,0.043473268651673
2020-10-01,0.046053016606899276
2020-10-02,0.04237934626004076
2020-10-03,0.04088725444286149
2020-10-04,0.045226766777485154
2020-10-05,0.04831685710279697
2020-10-06,0.050511087601442996
2020-10-07,0.04643830197095934
2020-10-08,0.045197076188177865
2020-10-09,0.04743793252509791
2020-10-10,0.049724463385840356
2020-10-11,0.04572657955113625
2020-10-12,0.048834641739995195
2020-10-13,0.04750404855513826
2020-10-14,0.046468711157203385
2020-10-15,0.04591027006535695
2020-10-16,0.04492647529441536
2020-10-17,0.04354232908365378
2020-10-18,0.04319454726612161
2020-10-19,0.042620888848798985
2020-10-20,0.04089724616768013
2020-10-21,0.03885873503538292
2020-10-22,0.03834683303678097
2020-10-23,0.03982503009176423
2020-10-24,0.04004637009109
2020-10-25,0.040792194179287124
2020-10-26,0.03937139906377941
2020-10-27,0.0379200481149961
2020-10-28,0.03782143021208286
2020-10-29,0.03528016426231
2020-10-30,0.03759159418538408
2020-10-31,0.035704326192230726
2020-11-01,0.03568167510177192
2020-11-02,0.035380489396072946
2020-11-03,0.03528769667325157
2020-11-04,0.03085144475403621
2020-11-05,0.031672419554061616
2020-11-06,0.03403371526459864
2020-11-07,0.03751166156097241
2020-11-08,0.03634901184006143
2020-11-09,0.0379259387421119
2020-11-10,0.03784539434382544
2020-11-11,0.04145524684578008
2020-11-12,0.04271236358837589
2020-11-13,0.038670427459490696
2020-11-14,0.03908470508470724
2020-11-15,0.038289025719309984
2020-11-16,0.037543560002798564
2020-11-17,0.03861145836299621
2020-11-18,0.037162647357345806
2020-11-19,0.03583233744270917
2020-11-20,0.03597196806454094
2020-11-21,0.03638290521124071
2020-11-22,0.04008427216091627
2020-11-23,0.04534372390164793
2020-11-24,0.0476080229059283
2020-11-25,0.045355822804806205
2020-11-26,0.04496086034787461
2020-11-27,0.041399430877638685
2020-11-28,0.04484015035477696
2020-11-29,0.04468094349197861
2020-11-30,0.045209266306146786
2020-12-01,0.048107010363833205
2020-12-02,0.04494815380468706
2020-12-03,0.04668876399761253
2020-12-04,0.046474216490829036
2020-12-05,0.04219631161062418
2020-12-06,0.04330882007126885
2020-12-07,0.042889912881920525
2020-12-08,0.04515360674283541
2020-12-09,0.04430824572139849
2020-12-10,0.05163536988943416
2020-12-11,0.05246829961706939
2020-12-12,0.045727943160122825
2020-12-13,0.04741812244429172
2020-12-14,0.0479152795841069
2020-12-15,0.049468990650658476
2020-12-16,0.05184433289983835
2020-12-17,0.05160648469012492
2020-12-18,0.04902755007483903
2020-12-19,0.05114702240835627
2020-12-20,0.05137071450146565
2020-12-21,0.04983126288534009
2020-12-22,0.04766288816385646
2020-12-23,0.04643812772870576
2020-12-24,0.038384073651963155
2020-12-25,0.040385648641136605
2020-12-26,0.038923406375721274
2020-12-27,0.038033053853271805
2020-12-28,0.03943305909311545
2020-12-29,0.039253340513246436
2020-12-30,0.03733282617283085
2020-12-31,0.03603721169081728
2021-01-01,0.03566929378773852
2021-01-02,0.03689171027557489
2021-01-03,0.03808736341151255
2021-01-04,0.04102727288094865
2021-01-05,0.0396789831860356
2021-01-06,0.041989587287485475
2021-01-07,0.044974014674755036
2021-01-08,0.04340615882340155
2021-01-09,0.04362548941732185
2021-01-10,0.045903731295318335
2021-01-11,0.04272043533318367
2021-01-12,0.04080883701480912
2021-01-13,0.038009610983471664
2021-01-14,0.04085692587865265
2021-01-15,0.040936716862251483
2021-01-16,0.044142940655311096
2021-01-17,0.043964187894059724
2021-01-18,0.05129794038867916
2021-01-19,0.05202981067580986
2021-01-20,0.05410675870140019
2021-01-21,0.05350640476387845
2021-01-22,0.10916477138321934
2021-01-23,0.10963299381470316
2021-01-24,0.1022184065158334
2021-01-25,0.09475155264210056
2021-01-26,0.09328546864383101
2021-01-27,0.09310304678156016
2021-01-28,0.08161836084877244
2021-01-29,0.08789000520647118
2021-01-30,0.0876412518765382
2021-01-31,0.08720881756666858
2021-02-01,0.08293522390755184
2021-02-02,0.08262170278314712
2021-02-03,0.09483956922240369
