date,neutrino
2020-02-01,0.9853819125007018
2020-02-02,0.9900618193042919
2020-02-03,0.9822499522580665
2020-02-04,0.9917923900948276
2020-02-05,0.9936571240831384
2020-02-06,0.985346707404204
2020-02-07,1.003199516533419
2020-02-08,0.9948109479221678
2020-02-09,0.9955643825957672
2020-02-10,1.0036698873934569
2020-02-11,0.9686660707380542
2020-02-12,0.9768195631673839
2020-02-13,0.9687066252098431
2020-02-14,0.9712663583573591
2020-02-15,0.9757480097571246
2020-02-16,0.9713312922985029
2020-02-17,0.9770424424097387
2020-02-18,0.994836974719042
2020-02-19,0.9968436157422778
2020-02-20,0.9935856648097394
2020-02-21,1.0016714008839573
2020-02-22,0.9978581345410228
2020-02-23,1.0017027424383342
2020-02-24,0.9990311976471361
2020-02-25,1.0001331703498486
2020-02-26,0.9854121153835455
2020-02-27,0.9700021440342398
2020-02-28,0.9590890533838171
2020-02-29,0.9968470073111332
2020-03-01,0.9727056970378202
2020-03-02,0.9851319587231867
2020-03-03,1.0028903179476136
2020-03-04,0.9888381968469487
2020-03-05,1.001511580396105
2020-03-06,0.9953574775438743
2020-03-07,1.0053228888158805
2020-03-08,0.9712044244164532
2020-03-09,0.9661305808628625
2020-03-10,1.006317025194737
2020-03-11,0.9974670099588924
2020-03-12,0.9915672749184773
2020-03-13,0.9744095681582052
2020-03-14,1.0134218405493944
2020-03-15,1.000480641631537
2020-03-16,0.996873756915911
2020-03-17,0.9999073218073776
2020-03-18,0.9725638231245775
2020-03-19,1.003201746582535
2020-03-20,0.9893488251206194
2020-03-21,0.9996350776470093
2020-03-22,1.0006878955059455
2020-03-23,0.9850283910086783
2020-03-24,1.0165025899240672
2020-03-25,0.9924007186453402
2020-03-26,1.0034281585110285
2020-03-27,1.0053320641013066
2020-03-28,0.9636385428463848
2020-03-29,1.0035394348130176
2020-03-30,0.9949768972757159
2020-03-31,0.9936564436371422
2020-04-01,1.001962972274519
2020-04-02,1.016863417504238
2020-04-03,1.013279459544062
2020-04-04,0.9980071040921857
2020-04-05,0.995653696491625
2020-04-06,0.997176275226502
2020-04-07,1.001608091392649
2020-04-08,1.0017121965211733
2020-04-09,0.9985130557110438
2020-04-10,1.0001221756884646
2020-04-11,1.007214680641525
2020-04-12,1.0334206454448753
2020-04-13,0.9944720030298848
2020-04-14,1.001677584806504
2020-04-15,0.9995009198775137
2020-04-16,0.9991666157732507
2020-04-17,0.9977751745686626
2020-04-18,0.9893471386643503
2020-04-19,0.9978513314514699
2020-04-20,0.9937736204832325
2020-04-21,1.0000822133379044
2020-04-22,0.9901371128501061
2020-04-23,0.9998421009342326
2020-04-24,0.9893775862119463
2020-04-25,0.9963101210106984
2020-04-26,0.9992167984053117
2020-04-27,0.9861506859831115
2020-04-28,0.9956728322369799
2020-04-29,0.9995133760751093
2020-04-30,0.9988204750208348
2020-05-01,0.994382576405604
2020-05-02,0.9943593260464146
2020-05-03,0.9977511985551536
2020-05-04,0.9989479560506132
2020-05-05,0.9919958715446536
2020-05-06,0.9947283813626027
2020-05-07,0.9824027185637666
2020-05-08,0.9915499490094246
2020-05-09,0.9924336523949087
2020-05-10,1.000166134045324
2020-05-11,1.0028580891035268
2020-05-12,0.9942440208571905
2020-05-13,0.9928713175635923
2020-05-14,0.9915608620337686
2020-05-15,0.9951840983941971
2020-05-16,0.9945891088626444
2020-05-17,0.9997380463667035
2020-05-18,0.9968943073584827
2020-05-19,0.9978986458068949
2020-05-20,0.998094511242365
2020-05-21,0.9986876312527087
2020-05-22,0.9877844181472988
2020-05-23,0.9938802291041409
2020-05-24,0.9928224859708275
2020-05-25,0.9866474012823434
2020-05-26,0.9949629907609978
2020-05-27,0.9970223707517798
2020-05-28,0.9962484568184068
2020-05-29,0.9957077560062652
2020-05-30,0.9969047327400924
2020-05-31,0.9965205851667877
2020-06-01,0.99865752793731
2020-06-02,0.9994609141392262
2020-06-03,0.9992488173821273
2020-06-04,0.9978762764060276
2020-06-05,0.9960526896267828
2020-06-06,0.9957921453987837
2020-06-07,0.9977235014785386
2020-06-08,0.9950822160137627
2020-06-09,0.9996457621264656
2020-06-10,0.9974078711004605
2020-06-11,0.9998922683027479
2020-06-12,0.999871126178209
2020-06-13,0.9997816704416014
2020-06-14,1.000248136121907
2020-06-15,0.9992445857898924
2020-06-16,0.9984047890996195
2020-06-17,0.9997701769296995
2020-06-18,1.000022762493248
2020-06-19,0.9977713736870067
2020-06-20,0.9970777227748822
2020-06-21,0.9986035202841921
2020-06-22,0.9987950046955045
2020-06-23,0.998974783890618
2020-06-24,1.000205516283793
2020-06-25,0.9974088449735588
2020-06-26,0.9994332753096863
2020-06-27,0.9988511692367035
2020-06-28,0.99844092933295
2020-06-29,0.9988202810289964
2020-06-30,0.998919925193042
2020-07-01,0.9989869497086702
2020-07-02,0.9975923015009177
2020-07-03,0.998425990341199
2020-07-04,0.9984977874453116
2020-07-05,0.9990426528751533
2020-07-06,0.9995625817087972
2020-07-07,1.0001253697461616
2020-07-08,0.9986457739262307
2020-07-09,0.994969545834685
2020-07-10,0.9948009484122615
2020-07-11,0.9951238152772562
2020-07-12,0.9929606983790364
2020-07-13,0.9961312979981476
2020-07-14,0.9979809663844726
2020-07-15,0.9883453672032936
2020-07-16,0.9963814024730671
2020-07-17,1.000022851496163
2020-07-18,0.9975434784814102
2020-07-19,0.9980685930409833
2020-07-20,0.9972851974471977
2020-07-21,0.9983241788752478
2020-07-22,0.9974914302437945
2020-07-23,0.9992647328572235
2020-07-24,0.9890503044815797
2020-07-25,0.9994932658946863
