date,paxos-standard
2018-09-26,0.9990922954379085
2018-09-27,0.9983116488964517
2018-09-28,1.0014525647281902
2018-09-29,1.001005280215308
2018-09-30,1.0006473557278976
2018-10-01,1.0009393781222717
2018-10-02,0.9986356006767468
2018-10-03,1.0015996688284454
2018-10-04,1.0004805684607785
2018-10-05,1.0046066015692263
2018-10-06,1.0049287828485394
2018-10-07,1.0065127147830841
2018-10-08,1.0062296267362052
2018-10-09,1.0345018625513391
2018-10-10,1.00731641721755
2018-10-11,1.0053565060124585
2018-10-12,1.0141961222635716
2018-10-13,1.0176124665717896
2018-10-14,1.0158792702539372
2018-10-15,1.0254883677704705
2018-10-16,1.041939217219621
2018-10-17,1.0340400496381867
2018-10-18,1.0321221613816352
2018-10-19,1.020224395256579
2018-10-20,1.0197204734972425
2018-10-21,1.0179286250489836
2018-10-22,1.0203968881284258
2018-10-23,1.017583698684184
2018-10-24,1.015854593109068
2018-10-25,1.0127503767285937
2018-10-26,1.0128869968167264
2018-10-27,1.012436489324523
2018-10-28,1.0069678430806521
2018-10-29,1.010027688049565
2018-10-30,1.006997062173848
2018-10-31,1.0071962528634888
2018-11-01,1.0074420833222701
2018-11-02,1.004609704517846
2018-11-03,1.005017993999305
2018-11-04,1.0020367846174514
2018-11-05,0.9795204641684279
2018-11-06,0.9979325389774453
2018-11-07,0.9998352567074217
2018-11-08,1.001748094318215
2018-11-09,1.006309642441759
2018-11-10,1.00737862440595
2018-11-11,1.0068946626358315
2018-11-12,1.0030997170906748
2018-11-13,1.010992424920498
2018-11-14,1.0207348444393693
2018-11-15,1.0312159001580967
2018-11-16,1.021895089560209
2018-11-17,1.0150204853707046
2018-11-18,1.0145508640179572
2018-11-19,1.013281534853239
2018-11-20,1.0187300385218074
2018-11-21,1.0242110463336607
2018-11-22,1.0120063489426119
2018-11-23,1.0137545592738557
2018-11-24,1.017590619627398
2018-11-25,1.0151647244910678
2018-11-26,1.0224839376708403
2018-11-27,1.0211001633136723
2018-11-28,1.020098542777032
2018-11-29,1.0112761091173486
2018-11-30,1.0100960882697696
2018-12-01,1.008511962864677
2018-12-02,1.009494573813323
2018-12-03,1.009251315450162
2018-12-04,1.0084521769286885
2018-12-05,1.0057522548272668
2018-12-06,1.0084077102556024
2018-12-07,0.9984098516744915
2018-12-08,1.0063799442641688
2018-12-09,1.002188272693209
2018-12-10,1.0013872128799626
2018-12-11,0.9997237505016643
2018-12-12,1.0023347612248932
2018-12-13,1.0001298090081425
2018-12-14,1.004039718438016
2018-12-15,1.0090350209099865
2018-12-16,1.0060902011483883
2018-12-17,1.0043523905097602
2018-12-18,1.0004278678523233
2018-12-19,1.0064048880514163
2018-12-20,0.9992217038907963
2018-12-21,0.9967311507148193
2018-12-22,0.9992024477939775
2018-12-23,0.9946094544142225
2018-12-24,0.9949181232067582
2018-12-25,0.9957125394475197
2018-12-26,0.9912786489523073
2018-12-27,0.9916708387546567
2018-12-28,0.9934518659588589
2018-12-29,0.9904068219784448
2018-12-30,0.9875424665558342
2018-12-31,0.9927072982789765
2019-01-01,0.9971494742019168
2019-01-02,0.99366111252806
2019-01-03,0.9932427053401324
2019-01-04,0.9943398973448475
2019-01-05,0.9940269060706729
2019-01-06,0.9931890123416212
2019-01-07,0.9838034286038152
2019-01-08,0.9959796584646077
2019-01-09,0.9888553715001619
2019-01-10,0.9920458213474737
2019-01-11,0.9938395833605136
2019-01-12,0.9954939135879094
2019-01-13,0.9885600380835701
2019-01-14,0.9918054522709764
2019-01-15,0.9944295666744418
2019-01-16,0.9945188008258088
2019-01-17,0.9889178717488186
2019-01-18,0.9911659705028141
2019-01-19,0.9967492069530585
2019-01-20,0.9942337733667427
2019-01-21,0.9991493900156769
2019-01-22,0.9930208680024574
2019-01-23,0.993706938544088
2019-01-24,0.991859321920889
2019-01-25,0.9934057073371986
2019-01-26,0.9943667251397641
2019-01-27,0.9972580915959489
2019-01-28,1.001523440662137
2019-01-29,0.9937448556424978
2019-01-30,0.9957989782725363
2019-01-31,0.9971072277349876
2019-02-01,1.000518084774442
2019-02-02,1.0049759502086668
2019-02-03,1.0004431065204127
2019-02-04,1.005580732960006
2019-02-05,1.0065585264587953
2019-02-06,1.0056560941257422
2019-02-07,1.0063058034441126
2019-02-08,1.0014075387667982
2019-02-09,1.0027742753180073
2019-02-10,1.0018557338116942
2019-02-11,0.9972094080193424
2019-02-12,1.0010449983170768
2019-02-13,1.0072541215257138
2019-02-14,1.0048404162557736
2019-02-15,1.001473546223201
2019-02-16,1.0025727097280943
2019-02-17,1.0047712134804505
2019-02-18,1.0126245002445706
2019-02-19,1.0028752544335466
2019-02-20,1.0004485107217107
2019-02-21,1.0034525684300517
2019-02-22,1.004662388608445
2019-02-23,1.0011922425733892
2019-02-24,0.9959778447405591
2019-02-25,0.9920141838336074
2019-02-26,0.9947061220865595
2019-02-27,1.0027536380203985
2019-02-28,1.0032263853765673
2019-03-01,1.0039575109023553
2019-03-02,0.9937000464529795
2019-03-03,1.002401531640903
2019-03-04,1.0046407154752017
2019-03-05,1.0032460990735128
2019-03-06,1.003630993500215
2019-03-07,1.0019715793670942
2019-03-08,1.0024677041847598
2019-03-09,1.0052534827683737
2019-03-10,1.0072438418486713
2019-03-11,1.0052659449470314
2019-03-12,1.0030108348150801
2019-03-13,1.0057050884976502
2019-03-14,1.002907187239196
2019-03-15,1.0063534602433435
2019-03-16,1.0069822692334218
2019-03-17,1.004044713800016
2019-03-18,1.0032627238826342
2019-03-19,1.0045369553830723
2019-03-20,1.0032866630757213
