date,true-usd
2018-03-23,1.0059179646630318
2018-03-24,0.9984460503219552
2018-03-25,0.9891169290059846
2018-03-26,0.9966525434501448
2018-03-27,0.9999694171761067
2018-03-28,1.001582352249114
2018-03-29,0.9949658948496372
2018-03-30,1.0119811203086981
2018-03-31,1.0131344904049713
2018-04-01,1.007963379717449
2018-04-02,1.0119432699891788
2018-04-03,1.0043058095763413
2018-04-04,1.0006041904808463
2018-04-05,1.014391167467619
2018-04-06,1.0160478210054782
2018-04-07,1.01198716401708
2018-04-08,1.0057534803531158
2018-04-09,1.0053637189703044
2018-04-10,1.01299857486653
2018-04-11,1.0024943845799603
2018-04-12,1.0058971296589467
2018-04-13,0.9951447204899183
2018-04-14,0.9996853710649437
2018-04-15,0.9976766896297766
2018-04-16,0.9988891008977371
2018-04-17,0.997103121444955
2018-04-18,0.9937755912197958
2018-04-19,0.9968710938834487
2018-04-20,1.0069263066084047
2018-04-21,0.998438408671556
2018-04-22,0.9984704438866124
2018-04-23,0.9958557861990963
2018-04-24,0.9924201980297126
2018-04-25,0.9909507952727605
2018-04-26,1.006089831338644
2018-04-27,0.9999958635240547
2018-04-28,0.9962572783518391
2018-04-29,0.9943033743189981
2018-04-30,0.9944895950453525
2018-05-01,0.9957346629735779
2018-05-02,0.9899549697826813
2018-05-03,0.9878134983810561
2018-05-04,0.9878804952352316
2018-05-05,0.9891227510000113
2018-05-06,0.9933651902213803
2018-05-07,0.9957261953329887
2018-05-08,0.998222332079502
2018-05-09,0.9887139678943953
2018-05-10,0.9930065349641979
2018-05-11,0.9911536169764525
2018-05-12,0.9914208567456222
2018-05-13,0.9974064969618991
2018-05-14,0.9956374569155333
2018-05-15,1.0050144574866433
2018-05-16,1.0003101685364022
2018-05-17,1.0111370598021419
2018-05-18,1.0055100429282775
2018-05-19,1.0043357539591138
2018-05-20,1.007602307548654
2018-05-21,1.0049930645416107
2018-05-22,1.0706328202871012
2018-05-23,1.0016177132436181
2018-05-24,1.0103034144171594
2018-05-25,1.0022399097173642
2018-05-26,1.0188485134289103
2018-05-27,1.0062660527652096
2018-05-28,1.0140519091098656
2018-05-29,1.0203514380764755
2018-05-30,1.0001486352475843
2018-05-31,0.9984216456460695
2018-06-01,1.0019326467485838
2018-06-02,0.9989085295001279
2018-06-03,0.992542886545613
2018-06-04,0.9939112052395264
2018-06-05,1.0007276678602743
2018-06-06,0.9969619725713604
2018-06-07,0.9959599896096101
2018-06-08,0.9963967146023421
2018-06-09,0.9947170599977497
2018-06-10,0.9867491920577298
2018-06-11,1.007795353910943
2018-06-12,1.0056477018784504
2018-06-13,1.016429100733681
2018-06-14,1.0124096841232992
2018-06-15,1.0058653421603263
2018-06-16,1.0057426211048124
2018-06-17,1.0042608891936622
2018-06-18,1.0030768044131217
2018-06-19,0.9998521569629245
2018-06-20,0.998551602691786
2018-06-21,0.9954305847714714
2018-06-22,0.9974125407574355
2018-06-23,1.013359057433246
2018-06-24,1.004204519764595
2018-06-25,1.0032822287218621
2018-06-26,0.9987514005197924
2018-06-27,0.9994924005024651
2018-06-28,0.9958459483733921
2018-06-29,1.0083840524774192
2018-06-30,0.9967259249781586
2018-07-01,0.9944579438862676
2018-07-02,0.9908330323428975
2018-07-03,0.9939096827309891
2018-07-04,0.997445853188313
2018-07-05,0.9893059043951585
2018-07-06,0.9962853207600033
2018-07-07,0.996416450959726
2018-07-08,0.9945036751782897
2018-07-09,0.991445014514419
2018-07-10,0.9830429813489124
2018-07-11,0.9990466580273045
2018-07-12,0.9952550517729623
2018-07-13,0.9989299870110314
