date,terrausd
2020-10-02,1.0002773209873377
2020-10-03,1.0002773209873377
2020-10-04,0.9994339870915703
2020-10-05,1.0031146103040014
2020-10-06,1.0041466105385637
2020-10-07,1.0121023513923335
2020-10-08,0.9993846123198507
2020-10-09,1.001813051150634
2020-10-10,0.9673368078750699
2020-10-11,1.0003757551652506
2020-10-12,1.0030729056604697
2020-10-13,0.9985289943544491
2020-10-14,0.9997869806524534
2020-10-15,0.9990361280290521
2020-10-16,1.0001957808764155
2020-10-17,0.9999365036286867
2020-10-18,1.002021866663425
2020-10-19,0.9986862687871872
2020-10-20,1.013492940338106
2020-10-21,1.0014844385080748
2020-10-22,1.0000359793606846
2020-10-23,1.006902086014208
2020-10-24,1.0100647450858278
2020-10-25,0.9980056912558818
2020-10-26,0.9982645065950083
2020-10-27,1.0024285882391857
2020-10-28,0.9982376629146441
2020-10-29,0.9999071024293004
2020-10-30,1.0007002920640158
2020-10-31,1.0016518155957237
2020-11-01,0.9940562887854717
2020-11-02,0.9946097658366146
2020-11-03,0.9978950455508856
2020-11-04,0.999107010044764
2020-11-05,1.0115958599921464
2020-11-06,0.9971688302838733
2020-11-07,1.0008076871455864
2020-11-08,0.9987587642621113
2020-11-09,1.008522629569244
2020-11-10,0.9990809228748486
2020-11-11,0.998772131111927
2020-11-12,0.9971333356947967
2020-11-13,0.9984611999504232
2020-11-14,0.997380173675569
2020-11-15,0.9984147308824973
2020-11-16,0.9991785739619695
2020-11-17,0.9986778780033462
2020-11-18,0.9976071475295041
2020-11-19,0.9894033288982872
2020-11-20,0.9941936440147509
2020-11-21,1.0010648436337504
2020-11-22,0.9995661760949033
2020-11-23,1.0229399164343247
2020-11-24,0.9994197955906369
2020-11-25,0.9970436263945585
2020-11-26,0.9946998396332755
2020-11-27,1.000108337969568
2020-11-28,0.9989737105362074
2020-11-29,0.9980076063843005
2020-11-30,1.0013171431950103
2020-12-01,0.9974863125651638
2020-12-02,1.002815413503735
2020-12-03,1.002787030860718
2020-12-04,0.9981171836273766
2020-12-05,1.0011035146647211
2020-12-06,1.0047687530326463
2020-12-07,1.0151129424108085
2020-12-08,1.0079328484584344
2020-12-09,1.0029242337460897
2020-12-10,0.9953800679478355
2020-12-11,0.9930453773995459
2020-12-12,0.99741067247472
2020-12-13,1.000180897771039
2020-12-14,0.9961731264971588
2020-12-15,1.0059596821377113
2020-12-16,0.9988278184734849
2020-12-17,1.0093151070566826
2020-12-18,1.001259546746764
2020-12-19,1.0091655989466053
2020-12-20,0.9976666039461148
2020-12-21,0.9982526696168416
2020-12-22,1.0046451132277512
2020-12-23,1.004933976865827
2020-12-24,1.000233764595413
2020-12-25,1.0024030968131918
2020-12-26,1.0230986688394514
2020-12-27,0.998203516548
2020-12-28,0.9931194504245006
2020-12-29,1.0046007740957072
2020-12-30,1.0084112775797318
2020-12-31,1.0076316064463433
2021-01-01,0.9960166110700519
2021-01-02,1.0039285627076275
2021-01-03,1.0052493735215133
2021-01-04,0.9809307242924163
2021-01-05,0.9931721216422018
2021-01-06,1.0040692116884558
2021-01-07,1.01877743384934
2021-01-08,1.0054498739809496
2021-01-09,1.0129743006357996
2021-01-10,0.996195729978062
2021-01-11,1.003249334304509
2021-01-12,1.0144884065313862
2021-01-13,1.0080176065914839
2021-01-14,0.9907653743674549
2021-01-15,1.0168648528568156
2021-01-16,1.0058160559456513
2021-01-17,1.0067385198863223
2021-01-18,0.977343060054823
2021-01-19,1.0117714909480973
2021-01-20,1.0010745615155834
2021-01-21,1.01711214088409
2021-01-22,0.997434084201809
2021-01-23,1.0077678715627894
2021-01-24,1.010425937669945
2021-01-25,1.0005875438614171
2021-01-26,0.9994884563935862
2021-01-27,1.0122012295361396
2021-01-28,0.9999440869032376
2021-01-29,1.0148893921596354
2021-01-30,1.0198604335603518
2021-01-31,1.028497001645067
2021-02-01,1.0391620960796613
2021-02-02,1.0277952671921853
2021-02-03,1.0282992792672208
2021-02-04,1.012545844805867
2021-02-05,0.995516445933945
2021-02-06,1.0176630346892321
2021-02-07,1.0026615491335205
2021-02-08,1.0233170255312263
2021-02-09,1.022604578493692
2021-02-10,1.009627513801234
2021-02-11,1.0040556727538783
2021-02-12,0.9975753897304794
2021-02-13,1.0041697631274638
2021-02-14,0.9959566077668175
2021-02-15,0.9985595623851763
2021-02-16,0.989219922127099
2021-02-17,0.9998510760672159
2021-02-18,1.0011648504447885
2021-02-19,1.0028592322839545
2021-02-20,1.0107289649879936
2021-02-21,1.007130772856911
2021-02-22,1.0053595542393907
2021-02-23,1.0090027270150461
2021-02-24,1.0088888683677004
2021-02-25,1.0070380926577394
2021-02-26,0.9950611052440455
2021-02-27,1.0036771935441597
2021-02-28,1.0011104481818718
2021-03-01,0.9957140048273182
2021-03-02,1.0036888748902373
2021-03-03,1.019717832012135
2021-03-04,0.9978871326888702
2021-03-05,0.9999183532955077
2021-03-06,1.0057245168718998
2021-03-07,1.0034329807401352
2021-03-08,1.0069360126580735
2021-03-09,1.0122736897699784
2021-03-10,1.0031314193407248
2021-03-11,1.0005741800783088
2021-03-12,1.0024448544849986
2021-03-13,1.008979372784807
2021-03-14,1.0117088361166338
2021-03-15,0.9941369166520321
2021-03-16,0.9953351909306494
2021-03-17,1.0152930772163415
2021-03-18,1.0067289251115088
2021-03-19,1.0038473052464951
2021-03-20,1.0052370470860035
2021-03-21,0.997084096715132
2021-03-22,0.9987340946507073
2021-03-23,0.999084601042436
2021-03-24,1.0036835663489159
2021-03-25,1.0046305125264232
2021-03-26,1.0011906519032074
