date,frax
2020-12-21,0.9750813700303343
2020-12-22,0.9750813700303343
2020-12-23,1.0010498827899095
2020-12-24,0.991595815364572
2020-12-25,0.9998029846208307
2020-12-26,1.01050694690746
2020-12-27,1.0031068343230265
2020-12-28,0.9853453084041817
2020-12-29,1.017660244962475
2020-12-30,1.0275427014617313
2020-12-31,1.0068035443556425
2021-01-01,0.9964030562123515
2021-01-02,1.0131331061422455
2021-01-03,1.012722503243817
2021-01-04,1.006453171678846
2021-01-05,0.9824241553742068
2021-01-06,0.9980295909201709
2021-01-07,1.0108175791536353
2021-01-08,1.000485600000948
2021-01-09,1.0029097606075705
2021-01-10,1.0079863859810347
2021-01-11,1.004240906473273
2021-01-12,1.012074266072802
2021-01-13,1.0102317346254084
2021-01-14,1.014182647459399
2021-01-15,1.0167116927351536
2021-01-16,1.0091373956211254
2021-01-17,1.0038522635903908
2021-01-18,0.9934715982428477
2021-01-19,1.0149708490026594
2021-01-20,0.9904498024025156
2021-01-21,1.0150872429838014
2021-01-22,0.9924804678727246
2021-01-23,0.9965129427968541
2021-01-24,0.9886699442605592
2021-01-25,1.0122278320826799
2021-01-26,0.9966165935702419
2021-01-27,0.9877278112539691
2021-01-28,0.9979775824025333
2021-01-29,0.9819511743179062
2021-01-30,0.9913475639629172
2021-01-31,0.9851367902913503
2021-02-01,1.0033887322185977
2021-02-02,0.9940365584596511
2021-02-03,0.9930274953333136
2021-02-04,0.9974194916004614
2021-02-05,0.9806717719505548
2021-02-06,0.9974282114160866
2021-02-07,0.9991021132954518
2021-02-08,0.995157188162069
2021-02-09,1.0059403147341295
2021-02-10,1.0057820519181089
2021-02-11,0.9984385775158019
2021-02-12,1.0008331724626163
2021-02-13,1.0012391007918513
2021-02-14,1.0019901168684522
2021-02-15,0.9944070443934757
2021-02-16,0.9878412263682385
2021-02-17,1.0030642552288014
2021-02-18,0.9964778123061253
2021-02-19,1.0129296226893787
2021-02-20,1.0056387475023014
2021-02-21,1.0061272791421625
2021-02-22,1.0015838106547443
2021-02-23,1.0038772624370866
2021-02-24,1.0102261677080848
2021-02-25,1.0098758947165372
2021-02-26,0.9902945677590544
2021-02-27,1.0007482853942549
2021-02-28,1.009582476295624
2021-03-01,1.0014483134610908
2021-03-02,1.0150424594952598
2021-03-03,1.0040915360616414
2021-03-04,0.9966408610127144
2021-03-05,1.0019214868608113
2021-03-06,1.0059069673505092
2021-03-07,0.9979713960652932
2021-03-08,1.0032407586313643
2021-03-09,1.006968027572687
2021-03-10,1.0092108915758307
2021-03-11,0.9919676264729108
2021-03-12,0.9990698053714814
2021-03-13,1.0119974317608798
2021-03-14,1.0007988219000516
2021-03-15,0.9972192710641945
2021-03-16,1.0060574445359682
2021-03-17,0.9957761527168332
2021-03-18,1.0037406837611877
2021-03-19,0.9961410830145023
2021-03-20,0.997310027296498
2021-03-21,0.9943199070908806
2021-03-22,0.9972468829961679
2021-03-23,0.998080068788446
2021-03-24,0.9997699279242839
2021-03-25,0.9975335453760716
2021-03-26,0.9919516836244507
2021-03-27,1.0105200342219998
2021-03-28,1.0013851339289752
2021-03-29,1.007955531909703
2021-03-30,1.0069204064557669
2021-03-31,1.0023786296678365
2021-04-01,0.9976568662120083
2021-04-02,0.9941508357486246
2021-04-03,1.0063022064565028
2021-04-04,0.9838786995593779
2021-04-05,0.99935052271955
2021-04-06,0.9955852515272057
2021-04-07,1.0002356617650978
2021-04-08,0.9934336257079254
2021-04-09,1.0064838787985755
2021-04-10,1.0036316823926101
2021-04-11,1.0029401037339296
2021-04-12,1.003023444381247
2021-04-13,1.0012316501791572
2021-04-14,1.0057928100441107
2021-04-15,1.0076206069796512
2021-04-16,1.0023372023408268
2021-04-17,0.9979816813029482
2021-04-18,0.9881864294921525
2021-04-19,1.0053661289224167
2021-04-20,0.992957462578734
2021-04-21,1.003541815417713
2021-04-22,0.9968277265438363
2021-04-23,1.0019747697647168
2021-04-24,1.0060795732226016
2021-04-25,0.9927728171401166
2021-04-26,1.0078167922047818
2021-04-27,1.0030253913570468
2021-04-28,1.0088811152904709
2021-04-29,1.0050910381640745
2021-04-30,1.0070220740095936
2021-05-01,1.0083733744613999
2021-05-02,1.0087168481912256
2021-05-03,1.002712783547529
2021-05-04,1.0089536307435112
2021-05-05,0.9929429235880912
2021-05-06,1.00499052656496
2021-05-07,0.998855124436886
2021-05-08,1.0049608228224893
2021-05-09,1.001166269950964
2021-05-10,1.001434621535108
2021-05-11,0.9974634643445307
2021-05-12,1.0096168209441903
2021-05-13,0.9931045399819658
2021-05-14,1.0069597444336937
2021-05-15,1.0023928351693325
2021-05-16,0.9940424105822111
2021-05-17,1.0101523679446507
2021-05-18,1.0053723318861882
2021-05-19,0.9999236852341059
2021-05-20,0.9840790235923754
2021-05-21,0.9933947798971574
2021-05-22,0.9991635618104401
2021-05-23,0.9912463989950945
2021-05-24,1.0015936868215665
2021-05-25,1.0028154583132223
2021-05-26,1.0021561097788614
2021-05-27,1.0054590418239484
2021-05-28,0.9969678194213002
2021-05-29,1.0041010687525946
2021-05-30,1.0002948278312076
2021-05-31,1.0009194149299527
2021-06-01,1.0067733195031419
2021-06-02,1.0056339140791615
2021-06-03,1.0053199301475266
2021-06-04,1.008360577012508
2021-06-05,1.0024038501486916
2021-06-06,1.0011979155538349
2021-06-07,1.0045457480032443
2021-06-08,0.9897325688558323
2021-06-09,1.000925531302923
2021-06-10,1.003231078631109
2021-06-11,0.9945560963204262
2021-06-12,1.0010234375531442
2021-06-13,0.9995409710181066
2021-06-14,1.0016224477998683
