date,binance-usd
2019-09-21,1.000331699977275
2019-09-22,1.000671386487223
2019-09-23,0.9998073770194557
2019-09-24,0.9999332111294342
2019-09-25,1.002317410458037
2019-09-26,1.0021073570468748
2019-09-27,1.0001338649417553
2019-09-28,1.0006664842306483
2019-09-29,1.0033313324986286
2019-09-30,0.9972393553007596
2019-10-01,1.000177834503856
2019-10-02,1.0033039615724955
2019-10-03,1.0033039615724955
2019-10-04,1.0004438039602943
2019-10-05,0.9993736950590528
2019-10-06,0.9998950161965426
2019-10-07,0.9987389817312541
2019-10-08,0.9968858874157781
2019-10-09,0.997035363639211
2019-10-10,0.9988597634888371
2019-10-11,0.9992140016149808
2019-10-12,0.9971498630038188
2019-10-13,0.9994806419939094
2019-10-14,1.0000867293886417
2019-10-15,0.9993396017706297
2019-10-16,1.0005585290751713
2019-10-17,1.0006889693460326
2019-10-18,1.0005008702905822
2019-10-19,0.9999002664151653
2019-10-20,1.0007181367023148
2019-10-21,1.0006548170515135
2019-10-22,0.9990962761744292
2019-10-23,1.0000539849149692
2019-10-24,1.0003218655025206
2019-10-25,0.9991676441391757
2019-10-26,0.9991465810651736
2019-10-27,0.9982240815161942
2019-10-28,0.9945920915316335
2019-10-29,1.0001169486193051
2019-10-30,1.001399545263512
2019-10-31,1.000067347614587
2019-11-01,1.0011326092213162
2019-11-02,1.000537950979546
2019-11-03,1.0005325444057698
2019-11-04,1.0004300444323164
2019-11-05,0.9987292629662741
2019-11-06,1.0006915466343258
2019-11-07,1.0003024552511977
2019-11-08,1.00132007010175
2019-11-09,0.9993170532745921
2019-11-10,1.0003169803007752
2019-11-11,1.000513688975985
2019-11-12,1.0009365309389884
2019-11-13,1.0014176069096912
2019-11-14,1.001427504213276
2019-11-15,1.0018219546300913
2019-11-16,1.0018775044817285
2019-11-17,1.0016018470435972
2019-11-18,1.0013365319811909
2019-11-19,1.0019696141477
2019-11-20,1.0026866751264678
2019-11-21,1.0020642579675878
2019-11-22,1.0026718402315595
2019-11-23,1.0030783954148916
2019-11-24,1.0006813240072134
2019-11-25,0.9935862712103588
2019-11-26,0.9995671350499074
2019-11-27,1.0006617678559113
2019-11-28,0.9980080062880554
2019-11-29,0.9999713605522546
2019-11-30,1.0008509158888046
2019-12-01,0.9996029178715241
2019-12-02,0.9983201038922965
2019-12-03,0.9994846947736798
2019-12-04,0.9984794160641759
2019-12-05,0.9997301509967106
2019-12-06,1.0001419971971937
2019-12-07,1.0000836726233884
2019-12-08,0.9974452980077105
2019-12-09,0.996669839251344
2019-12-10,1.0003287684718667
2019-12-11,0.9999250969056325
2019-12-12,1.0007986246389915
2019-12-13,1.0012863392876916
2019-12-14,1.0007085046583928
2019-12-15,1.0003567226858547
2019-12-16,0.9986815783364709
2019-12-17,1.0032130977206852
2019-12-18,1.0004747442992457
2019-12-19,1.0004359443627393
2019-12-20,0.9986374122613418
2019-12-21,1.000861179445199
2019-12-22,1.0003271896306465
2019-12-23,0.9989718810956436
2019-12-24,1.0006909099743349
2019-12-25,1.0020351400726544
2019-12-26,1.0024261915473023
2019-12-27,1.0013473991257478
2019-12-28,1.0007709913997915
2019-12-29,1.0023231778870318
2019-12-30,1.0005398586977652
2019-12-31,1.0015667983254883
2020-01-01,1.0024013720300238
2020-01-02,1.002661473989509
2020-01-03,1.0016534131943617
2020-01-04,1.0011948426615105
2020-01-05,1.0018293951398987
2020-01-06,1.0001439993921206
2020-01-07,0.9988836298472605
2020-01-08,0.9975714026055513
2020-01-09,0.9975340253053566
2020-01-10,1.0006463309274505
2020-01-11,1.0017637121811387
2020-01-12,0.998408795124976
2020-01-13,1.0013100535372474
2020-01-14,0.9996786204264069
2020-01-15,0.9996752190509316
2020-01-16,1.0019193655978778
2020-01-17,1.000516819685387
2020-01-18,0.9965189598558862
2020-01-19,1.0000009063178104
2020-01-20,0.9975432211164793
2020-01-21,0.9988827721829463
2020-01-22,1.0005206427212967
2020-01-23,1.0016229041892015
2020-01-24,1.003260773993125
2020-01-25,1.0015124018662633
2020-01-26,1.0023370275885883
2020-01-27,1.0015784910549712
2020-01-28,1.0002679520230866
2020-01-29,0.9994091381174622
2020-01-30,0.9972751967680409
2020-01-31,1.0009395314933367
2020-02-01,0.9973876281580344
2020-02-02,0.998938855737139
2020-02-03,1.0004982829342912
2020-02-04,1.0039507350307777
2020-02-05,1.0027962325210424
2020-02-06,0.9986478718373275
2020-02-07,0.9993344524625691
2020-02-08,1.0010191329171678
2020-02-09,0.9975999569749078
2020-02-10,1.0010784825099626
2020-02-11,1.0001506170198797
2020-02-12,0.9960888542046451
2020-02-13,0.9980673408801766
2020-02-14,0.9987781505772158
2020-02-15,0.9982514508329293
2020-02-16,0.9995365536659434
2020-02-17,0.9961303743665947
2020-02-18,1.00275314169928
2020-02-19,0.9951252926967487
2020-02-20,1.0002585063931604
2020-02-21,1.0002387982345546
2020-02-22,0.9978973262697178
2020-02-23,0.997645921819754
2020-02-24,0.9978123172158744
2020-02-25,0.9976162028420569
2020-02-26,1.0007062330361627
2020-02-27,1.0005594649372427
2020-02-28,1.0039934369692467
2020-02-29,0.9980553456790524
2020-03-01,0.9997267259347484
2020-03-02,1.002717661957846
2020-03-03,1.0006538687510869
2020-03-04,0.9988699527442211
2020-03-05,1.0014124295537477
2020-03-06,0.9961541005668593
2020-03-07,0.9984713833367753
2020-03-08,1.0018114510057794
2020-03-09,1.0031392214035513
2020-03-10,1.0019886724926876
2020-03-11,1.001838610628682
2020-03-12,1.0005496276627095
2020-03-13,1.0074800725321271
