date,dai
2019-11-19,1.000650588888066
2019-11-20,0.9954110116644869
2019-11-21,0.9915908692454622
2019-11-22,0.9911021228250846
2019-11-23,0.9928500446120052
2019-11-24,0.9821199130342257
2019-11-25,0.927535960047834
2019-11-26,0.9888113589915057
2019-11-27,0.9477039994203292
2019-11-28,0.9797532303288976
2019-11-29,0.9736842827784653
2019-11-30,0.9823796549629766
2019-12-01,0.947958034819108
2019-12-02,0.9692867758753012
2019-12-03,0.9931722472225812
2019-12-04,0.9762196669646119
2019-12-05,0.978063576046384
2019-12-06,0.9766388581510979
2019-12-07,0.9726688641283181
2019-12-08,0.9687596124111794
2019-12-09,0.9757126757054998
2019-12-10,0.9743668145439941
2019-12-11,0.9734734853699696
2019-12-12,1.0000402732386735
2019-12-13,0.9990270572914369
2019-12-14,1.004506003321739
2019-12-15,0.9990879396642474
2019-12-16,0.9953315678455207
2019-12-17,1.0041174272867668
2019-12-18,1.0035311834668825
2019-12-19,1.001236941108159
2019-12-20,1.0001195264392
2019-12-21,0.9972592645057585
2019-12-22,0.9657993233443855
2019-12-23,0.9830352782570829
2019-12-24,0.983442785117267
2019-12-25,0.9790040930548111
2019-12-26,0.9727306129325239
2019-12-27,0.9742495283691849
2019-12-28,0.9744770865407593
2019-12-29,0.9720845376983497
2019-12-30,0.9845264335517296
2019-12-31,0.9818932700387747
2020-01-01,0.9818469907264622
2020-01-02,0.9726058008924008
2020-01-03,0.978826383556656
2020-01-04,0.98787714642571
2020-01-05,0.9701337426756221
2020-01-06,0.9811010361823272
2020-01-07,0.99868002674042
2020-01-08,0.9956359758022523
2020-01-09,1.0004055374300225
2020-01-10,1.0027315646284447
2020-01-11,1.0066311782430477
2020-01-12,0.9946082949190382
2020-01-13,1.0011028036381404
2020-01-14,0.9930822014257257
2020-01-15,1.003530723355194
2020-01-16,0.9971617186713293
2020-01-17,0.9961147216136393
2020-01-18,0.9926702410381791
2020-01-19,0.9908555390638011
2020-01-20,0.996875695797804
2020-01-21,0.9933925837295969
2020-01-22,0.9936940350326489
2020-01-23,0.9944358105287344
2020-01-24,1.0015289410530894
2020-01-25,0.9970788904190244
2020-01-26,0.9969064316551488
2020-01-27,1.003130551775534
2020-01-28,0.9985682257719072
2020-01-29,1.006833924532294
2020-01-30,0.9950014015342008
2020-01-31,0.9964017842515547
2020-02-01,0.9957237797993543
2020-02-02,0.9952900349470037
2020-02-03,0.9974633291392077
2020-02-04,0.9973003461706084
2020-02-05,1.002104738554442
