UNIX_timestamp,prices,market_caps,total_volumes
1.50483E+12,1.01,397634759.8,319158000
1.50492E+12,1,403697782,122156000
1.505E+12,1.01,407734759.8,163257000
1.50509E+12,1,403700492,126682000
1.50517E+12,1,403700492,162544000
1.50526E+12,1,413700492,256521000
1.50535E+12,0.999769,418603772.2,352449000
1.50543E+12,0.998812,441955574.3,545294000
1.50552E+12,1.00318,443888332.3,234360000
1.50561E+12,1.00477,444591877.5,118935000
1.50569E+12,1.00161,443193636.8,214669000
1.50578E+12,1.00153,443158238.3,163402000
1.50587E+12,0.997989,441591412.2,137452000
1.50595E+12,1.00684,445507813.7,231878000
1.50604E+12,1.0049,444649400.1,164925000
1.50612E+12,1.00084,442852921.2,117402000
1.50621E+12,1.00439,444423729.6,91704300
1.5063E+12,1.00064,442764425,160605000
1.50638E+12,1.00195,427894442.3,104531000
1.50647E+12,1.00334,428488058,200757000
1.50656E+12,0.999143,426695680.1,232811000
1.50664E+12,1.00278,438276703.4,205556000
1.50673E+12,0.996854,435686576.3,116561000
1.50682E+12,0.998642,436468042.4,103305000
1.5069E+12,1.00091,437459298,126736000
1.50699E+12,1.00226,438049331.2,137141000
1.50708E+12,1.00069,437363144.5,115319000
1.50716E+12,1.00009,437100907.5,119445000
1.50725E+12,1.00093,437468039.3,91708500
1.50733E+12,0.998909,436584742.8,89614700
1.50742E+12,0.998339,436335617.7,123248000
1.50751E+12,1.00029,437188324.9,178558000
1.50759E+12,1.00001,437065947.6,137436000
1.50768E+12,0.997899,436143310.6,86063600
1.50777E+12,0.999551,436865336.4,214883000
1.50785E+12,1.00076,437393743.8,321360000
1.50794E+12,1.00294,438346638.3,137961000
1.50803E+12,0.999286,436749615,213006000
1.50811E+12,0.998281,436310368,204073000
1.5082E+12,1.00284,438302932.2,216322000
1.50828E+12,1.00064,437341396.5,254134000
1.50837E+12,1.00131,437634227.8,153068000
1.50846E+12,1.00225,438044960.5,185039000
1.50854E+12,1.00147,437703646.9,171841000
1.50863E+12,1.00166,437786688.5,166575000
1.50872E+12,0.996017,435320352.4,201830000
1.5088E+12,0.999485,436836080.5,258705000
1.50889E+12,1.00217,438010090.8,170207000
1.50898E+12,0.999321,436764902.1,150409000
1.50906E+12,1.00074,437385092.6,144483000
1.50915E+12,1.00182,437857119.2,120270000
1.50924E+12,0.999987,452055790.2,616456000
1.50932E+12,0.997833,451082049.4,170149000
1.50941E+12,0.998742,451492973.4,183224000
1.50949E+12,0.998106,451205462.2,243987000
1.50958E+12,1.00129,452644826.6,427596000
1.50967E+12,1.00302,488532593.2,360474000
1.50975E+12,1.00473,496398578.7,285698000
1.50984E+12,0.999176,493654560.2,235626000
1.50993E+12,1.00494,496502331.6,307960000
1.51001E+12,1.00255,515372524.3,256088000
1.5101E+12,1.01153,499758198,525874000
1.51019E+12,1.00623,537388871.2,364325000
1.51027E+12,1.00231,565364649.5,750882000
1.51036E+12,1.00553,597346828,754936000
1.51044E+12,1.00717,598321089.2,1444590000
1.51053E+12,1.00998,599946433,773200000
1.51062E+12,1.00566,597380274.6,430488000
1.5107E+12,1.00487,596911000.3,449388000
1.51079E+12,0.993232,609862457.3,641835000
1.51088E+12,1.0022,645434971.9,642643000
1.51096E+12,1.0023,645498058.7,587559000
1.51105E+12,1.00064,675398808.8,485250000
1.51114E+12,0.998933,674246640.4,432169000
1.51122E+12,0.997636,673371208.4,628997000
1.51131E+12,0.997972,673597997.3,498986000
1.5114E+12,1.00055,675338061.8,722394000
1.51148E+12,1.00305,677025478.8,854885000
1.51157E+12,1.00546,678652148.9,656963000
